t_plus_1,e
1,-0.0144844092
2,-0.0099255786
3,0.0031912481
4,0.0047046794
5,0.0007998102
6,0.010929492
7,0.0057035417
8,0.0229183097
9,0.0035424318
10,0.0015229304
11,0.0106643144
12,0.0042547695
13,-0.0120662999
14,0.0024873286
15,0.0098322167
16,-0.0222805228
17,0.0021501728
18,0.0070986818
19,-0.0029248505
20,0.0042596622
21,0.0062943591
22,-0.0139597586
23,0.0001157647
24,0.0026185689
25,0.0037197538
26,0.0072345269
27,0.002857605
28,-0.0118857087
29,-0.0015339549
30,0.0015762301
31,-0.0046698074
32,-0.0073507493
33,0.0013086871
34,0.0089711867
35,-0.0083386039
36,0.005106131
37,0.0265044965
38,0.0012066085
39,-0.0101035592
40,0.005454035
41,0.0105251889
42,-0.0133450937
43,-0.0120360744
44,0.0052566786
45,0.0113722003
46,0.0149888634
47,0.0116707975
48,-0.0035478069
49,0.0056442725
50,0.0102756379
51,-0.0065071746
52,0.002203331
53,0.0113309777
54,0.0087584298
55,0.0155174969
56,-0.0029087742
57,0.0150679445
58,-0.0003130414
59,0.003939902
60,0.0033070151
61,-0.0050221819
62,0.0136224974
63,-0.0006444795
64,-0.0012553471
65,0.0101378042
66,0.004589223
67,-0.010403795
68,-0.005720333
69,0.000671941
70,0.0225431126
71,-0.0015799717
72,-0.0181446421
73,-0.0073629829
74,0.0034768138
75,-0.0123005394
76,-0.0169040169
77,0.0022083044
78,-0.0080143873
79,-0.0131975988
80,-0.0058730651
81,-0.0061934512
82,0.0109253998
83,-0.0048421511
84,0.0004940692
85,-0.0074559883
86,-0.015633779
87,0.0039073137
88,0.0042646048
89,0.0131172607
90,-0.0103819652
91,0.0122609392
92,0.000840314
93,0.0002664668
94,-0.0001420644
95,-0.0167890403
96,0.0086961634
97,-0.0010270811
98,-0.0011056718
99,-0.0116376895
100,0.0046961532
101,0.0071626235
102,0.0055919057
103,0.0059960733
104,-0.0064359447
105,-0.0112098615
106,0.0052607049
107,0.0074293826
108,0.0026762275
109,0.0079906121
110,0.0109848645
111,-0.007372728
112,-0.0071706661
113,0.001029081
114,0.0087747836
115,0.0003186581
116,0.0110904914
117,0.0016153868
118,0.0005149581
119,0.0071550377
120,-0.0023047797
121,-0.001549381
122,0.007389289
123,-0.0047067793
124,0.0055594507
125,0.0205438574
126,0.0020242183
127,0.0059577222
128,-0.0039407134
129,-0.0009444699
130,-0.0009940085
131,-0.0005139751
132,0.0006314587
133,0.0021304862
134,-0.0122705032
135,0.0165903552
136,-0.006123284
137,0.0078039712
138,-0.0024323915
139,0.0166906702
140,-0.0058168823
141,0.0072601362
142,0.0033687633
143,-0.0025531845
144,0.0064065475
145,-0.0013906902
146,0.0025513758
147,-0.0026706659
148,-0.0043244353
149,0.0036600045
150,-0.0065920779
151,-0.0094374805
152,0.0140287329
153,-0.0206223775
154,0.0132369348
155,-0.0094282876
156,-0.0195082063
157,-0.0108149469
158,-0.0036324891
159,-0.0239777331
160,-0.0002000686
161,-0.002137102
162,-0.006185752
163,-0.0021828267
164,-0.0021143905
165,-0.0150466664
166,0.0167427535
167,-0.0056276372
168,0.0118557541
169,0.0137584117
170,0.0301657462
171,0.0026458684
172,0.0115214163
173,0.0060463118
174,-0.0173023797
175,-0.0007149325
176,-0.0019387815
177,0.0096244759
178,-0.0025835055
179,-0.0055032698
180,0.016668637
181,-0.0093335359
182,-0.0195716108
183,0.0119869057
184,-0.0013716768
185,-0.0051970752
186,0.0107783829
187,0.0125302541
188,0.0095990054
189,0.019207785
190,0.0011743912
191,-0.0075169673
192,0.0196258579
193,-0.0044524925
194,-0.0121262067
195,-0.0088518296
196,0.0154745108
197,-0.0147897725
198,-0.0010521711
199,0.0206991671
200,-0.0056896425
201,-0.0058191458
